id,panel,indicator,type,question,answer,model,response_time_seconds,status,error,attempts,created_at
BIO001,BIOCHEM,AST,Khái niệm,AST là gì trong xét nghiệm sinh hóa máu?,"AST là enzim alanine aminoteràsese, thường tìm thấy trong gan và cơ thịt, với ứng dụng chính trong các trường hợp viêm gan. [1]

References:
[1] tietz.pdf, page 333. ""315 CHAPTER 19 Serum Enzymes TABLE 19.1 Distribution of Clinically Important Enzymes Enzyme Principal Sources of Enzyme in Blood Principal Clinical Applications Alanine aminotransferase Liver Hepatic parenchymal disease Alkaline phosphatase Liver, bone, intestinal mucosa, placenta Hepatobiliary disease, bone disease Amylase (pancreatic isoenzyme) Pancreas Pa [...]""",colab_llm,3.31,OK,,1,2026-05-26T23:40:51
BIO002,BIOCHEM,ALT,Khái niệm,ALT là gì trong xét nghiệm sinh hóa máu?,"ALT là enzim alanine aaminotranferase, thường được tìm thấy trong máu và đặc biệt hữu ích trong đánh giá tổn thương gan. Nó tham gia vào quá trình chuyển đổi giữa các axit amin và được tìm thấy chủ yếu trong tế bào gan. [1],[2]

References:
[1] tietz.pdf, page 333. ""315 CHAPTER 19 Serum Enzymes TABLE 19.1 Distribution of Clinically Important Enzymes Enzyme Principal Sources of Enzyme in Blood Principal Clinical Applications Alanine aminotransferase Liver Hepatic parenchymal disease Alkaline phosphatase Liver, bone, intestinal mucosa, placenta Hepatobiliary disease, bone disease Amylase (pancreatic isoenzyme) Pancreas Pa [...]""
[2] tietz.pdf, page 335. ""y in the serum of subjects with suspected muscle disease does not add information to that available more readily from measurement of CK. Accordingly, ALD measure- ment within clinical laboratories should be discouraged. LIVER ENZYMES Enzymes in this category include (1) alanine aminotransfer- ase (ALT), (2) aspartate aminotransferase (AST), (3) alkaline phos [...]""",colab_llm,5.151,OK,,1,2026-05-26T23:18:11
BIO003,BIOCHEM,UREA,Khái niệm,Urea/BUN là gì trong xét nghiệm máu?,"Urea và BUN là hai thuật ngữ tương đương nhau trong xét nghiệm huyết thanh. Theo sách Tietz, urea được sử dụng để đo độ đậm đặc của axit uric trong máu, thường được báo cáo với đơn vị mg/dL. Để chuyển đổi từ mg/dL sang mmol/L, cần nhân giá trị đó bởi 2,8. Mặc dù urea có thể hữu ích trong việc đánh giá chức năng thận, nhưng hiện tại, creatinin được coi là phương pháp tốt hơn để xác định chức năng thận. Kết quả urea được khuyến nghị sử dụng đơn vị mmol/L thay vì mg/dL theo hệ thống quốc tế (SI). Điều này giúp giảm sự phụ thuộc vào quá trình sản xuất và loại bỏ axit urat, điều mà có thể ảnh hưởng đến hiệu lực kiểm tra chức năng thận.[1],[2]

References:
[1] tietz.pdf, page 387. ""60 years of age), a higher reference interval (e.g., 2.9 to 8.2 mmol/L [8 to 23 mg/dL]) may be used. On an average protein diet, urinary urea excretion expressed as urea nitrogen is 12 to 20 g/day (430 to 710 mmol/day). The term blood urea nitrogen (BUN) is used in some countries to refer to serum urea tests, with results reported as mg/dL of BUN. The SI sys [...]""
[2] tietz.pdf, page 387. ""esults reported as mg/dL of BUN. The SI system recommends the use of the term urea, expressed in mmol/L. To convert mg/dL BUN to mmol/L urea multiply the value by 2.8 (or by 0.357 for the reverse). Clinical Significance Measurement of blood and serum urea has been used for many years as an indicator of kidney function. However, it is generally accepted that [...]""",colab_llm,12.418,OK,,1,2026-05-26T23:18:24
BIO004,BIOCHEM,CREATININE,Khái niệm,Creatinine là gì trong xét nghiệm máu?,"Creatinine là chất thải của cơ thể do quá trình chuyển hóa creatine diễn ra tại thận. Nó được sản xuất bởi thận, gan và tụy, sau đó được vận chuyển qua máu đến các cơ và não, nơi nó bị phosphoryl hóa thành fosfatocreatinin - một hợp chất chứa năng lượng cao. Phần lớn creatinine trong cơ thể (khoảng 1%-2%) biến đổi thành chất thải vô trùng là creatinin. Tỷ lệ creatinin trong máu thường xuyên trong cơ thể con người tương đối ổn định, ngoại trừ ảnh hưởng của chế độ ăn uống. Đây là chất thay thế phổ biến để đo chức năng thận trong các công thức tính toán glomerular filtrate rate (Gfr). [1]

References:
[1] tietz.pdf, page 381. ""indicate explicit deterioration in renal function. Increased urinary albumin loss is common among the general population and is not solely attributable to the presence of diabetes. CREATININE Biochemistry and Physiology Creatine, the immediate precursor of creatinine, is synthesized in the kidneys, liver, and pancreas and is then transported in blood to othe [...]""",colab_llm,10.926,OK,,1,2026-05-26T23:18:36
BIO005,BIOCHEM,NA,Khái niệm,Natri máu là gì?,"Natri máu hay kali máu là các chất điện giải cần thiết trong cơ thể, được kiểm tra qua xét nghiệm máu. Natri máu đóng vai trò chính trong việc duy trì sự cân đối của nước và áp suất osmo trong compartments tế bào ngoại vi. [1]

References:
[1] tietz.pdf, page 439. ""ne collection for Na+, K+, or Cl− assays should be done without the addition of preservatives. Body fluid aspirates, feces, or gastrointestinal (GI) fluid samples may also be sub- mitted for electrolyte analysis. SODIUM Sodium is the major cation of extracellular fluid. Because it represents approximately 90% of the ≈154 mmol of inorganic cations per liter o [...]""",colab_llm,4.353,OK,,1,2026-05-26T23:18:42
BIO006,BIOCHEM,K,Khái niệm,Kali máu là gì?,"Kali máu hay kali huyết tương là ion kali tồn tại trong dịch tế bào và các chất nhầy của cơ thể. Nó đóng vai trò quan trọng trong quá trình truyền điện thần kinh và co thắt cơ. Trong xét nghiệm máu, kali được đo để xác định tình trạng cân bằng điện giải của cơ thể, đặc biệt là so với sodium. [1]

References:
[1] tietz.pdf, page 440. ""PART III Analytes 422 Specimens Comments made earlier on specimens for Na+ analysis are generally applicable to those for K+ analysis, with some cave- ats. Potassium concentrations in plasma and whole blood are 0.1 to 0.7 mmol/L lower than those in serum, and most refer- ence intervals for serum K+ are 0.2 to 0.4 mmol/L higher than those for plasma K+. The e [...]""",colab_llm,5.993,OK,,1,2026-05-26T23:18:49
BIO007,BIOCHEM,CL,Khái niệm,Clo máu là gì?,"Clô máu là ion clorua, là chất điện phân lớn trong dịch tế bào và dịch ngoại vi của cơ thể. Ion clorua đóng vai trò quan trọng trong việc duy trì sự cân đối giữa các ion axit-bazo và cation-hydroxid trong dịch ngoại vi. Ion cloro cũng tham gia vào quá trình giữ nước và ổn định áp suất mao lực trong dịch ngoại biên [1].

References:
[1] tietz.pdf, page 442. ""However, results from direct ISE methods will continue to be converted to total plasma volume concentrations by use of the “flame mode,” as greater than 80% of laboratories continue to use indirect ISE methods. Chloride Chloride is the major extracellular anion and, similar to Na+, is significantly involved in the maintenance of water distribu- tion, osmotic [...]""",colab_llm,7.044,OK,,1,2026-05-26T23:18:58
BIO008,BIOCHEM,GLUCOSE,Khái niệm,Glucose máu là gì?,"Glucose máu là đường glucose trong máu, có thể tăng cao do tình trạng sử dụng glucose kém, gây ra hyperglycemic. Glucose là một monosacchardie sáu carbon sản sinh từ sự phân hủy của các chất đạm hoặc moi glycerol của triglycéride trong thức ăn hoặc nguồn cung cấp cơ thể, cũng có thể được tạo ra nội sinh từ protein. [1]

References:
[1] tietz.pdf, page 395. ""disorders of carbohydrate metabolism in which glucose is underutilized, producing hyperglycemia. Glucagon A protein hormone that maintains blood glucose concentration by increasing blood glucose through glycogenolysis. Glucose A six-carbon monosaccharide derived from the breakdown of carbohydrates in the diet or in body stores; can also be endogenously synth [...]""",colab_llm,6.125,OK,,1,2026-05-26T23:48:39
BIO009,BIOCHEM,HBA1C,Khái niệm,HbA1c là gì và khác gì với glucose máu?,"Hemoglobin A1C (HbAIc) là một loại hemoglobin đặc biệt tồn tại trong máu, phản ánh lượng đường glucose mà các tế bào hồng cầu đã hấp thụ trong suốt thời gian dài khoảng 90 ngày. Điều này giúp bác sĩ theo dõi tình trạng kiểm soát đường huyết của bệnh nhân trong một khoảng thời gian lâu hơn so với chỉ số glucose máu hiện tại. 

So sánh với glucose máu, HbAIc không thay đổi tức thì đáp ứng với sự thay đổi đột ngột trong lượng đường trong máu. Glucose máu có thể tăng lên rất nhanh sau bữa ăn, trong khi HbAIcs thường ổn định hơn và phản ánh tình trạng kiểm tra trước đó vài tháng [1].

References:
[1] tietz.pdf, page 622. ""PART IV Pathophysiology 604 18. Explain how measurement of glycated hemoglobin is useful in the diagnosis and monitoring of diabetes; state the cutoff value of hemoglobin A1c used to diagnose diabetes. 19. Specify the effects that young and old erythrocytes have on hemoglobin A1c values. 20. List and discuss three techniques used to determine hemoglobin A1c [...]""",colab_llm,14.178,OK,,1,2026-05-26T23:19:29
BIO010,BIOCHEM,CHOLESTEROL,Khái niệm,Cholesterol toàn phần là gì?,"Cholesterol toàn phân là tổng của triglicérider và bạch cầu tụy (LDL). Đây được tính toán dựa trên công thức Friedewald: LDL-C = TC - HDL-C - (TG ÷ 5), với các đơn vị đo TC và HDL-C là miligram mỗi decilitrê, TG là miligram từng decilitrè, và LDL-C được biểu diễn trong milimole mỗi litre thì sử dụng (TG Ò 2.2). [1]

References:
[1] tietz.pdf, page 424. ""PART III Analytes 406 Numerous studies have established that when total cholesterol and LDL cholesterol (LDL-C) concentrations are high, the inci- dence and prevalence of CHD are also high. In contrast to LDL- C, increased HDL cholesterol (HDL-C) concentrations have been shown to be protective for CHD in epidemiologic stud- ies. Because atherosclerosis begin [...]""",colab_llm,8.309,OK,,1,2026-05-26T23:19:39
